# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Rv1556	Rv1556	CCP44320	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1558	Rv1558	CCP44322	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1565c	Rv1565c	CCP44329	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1566c	Rv1566c	CCP44330	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1567c	Rv1567c	CCP44331	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1571	Rv1571	CCP44335	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1572c	Rv1572c	CCP44336	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1573	Rv1573	CCP44337	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Rv1574	Rv1574	CCP44338	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1575	Rv1575	CCP44339	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1576c	Rv1576c	CCP44340	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1577c	Rv1577c	CCP44341	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1578c	Rv1578c	CCP44342	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1579c	Rv1579c	CCP44343	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1580c	Rv1580c	CCP44344	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1581c	Rv1581c	CCP44345	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1582c	Rv1582c	CCP44346	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv1583c	Rv1583c	CCP44347	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv1584c	Rv1584c	CCP44348	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv1585c	Rv1585c	CCP44349	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Rv1586c	Rv1586c	CCP44350	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Rv1587c	Rv1587c	CCP44351	protein_coding	0	0	1	6	0	0	0	0	0	0	1	0	0	0	0	0	0	6
Rv1588c	Rv1588c	CCP44352	protein_coding	0	1	4	2	0	0	0	0	1	0	4	0	0	0	0	0	1	1
Rv1590	Rv1590	CCP44354	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	6
Rv1591	Rv1591	CCP44355	protein_coding	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	6
Rv1592c	Rv1592c	CCP44356	protein_coding	0	0	1	7	0	0	0	0	6	0	1	0	0	0	0	0	0	1
Rv1593c	Rv1593c	CCP44357	protein_coding	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	1
Rv1597	Rv1597	CCP44361	protein_coding	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Rv1598c	Rv1598c	CCP44362	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1615	Rv1615	CCP44379	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1616	Rv1616	CCP44380	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1619	Rv1619	CCP44383	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1632c	Rv1632c	CCP44396	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1634	Rv1634	CCP44398	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1635c	Rv1635c	CCP44399	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1637c	Rv1637c	CCP44401	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1638A	Rv1638A	CCP44403	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1639c	Rv1639c	CCP44404	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rv1645c	Rv1645c	CCP44410	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1647	Rv1647	CCP44412	protein_coding	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	0	0	1
Rv1648	Rv1648	CCP44413	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1667c	Rv1667c	CCP44432	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1668c	Rv1668c	CCP44433	protein_coding	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1
Rv1669	Rv1669	CCP44434	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1670	Rv1670	CCP44435	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Rv1671	Rv1671	CCP44436	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv1672c	Rv1672c	CCP44437	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1673c	Rv1673c	CCP44438	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1674c	Rv1674c	CCP44439	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1676	Rv1676	CCP44441	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Rv1678	Rv1678	CCP44443	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1680	Rv1680	CCP44445	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1682	Rv1682	CCP44447	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Rv1683	Rv1683	CCP44448	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1684	Rv1684	CCP44449	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1685c	Rv1685c	CCP44450	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1686c	Rv1686c	CCP44451	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1687c	Rv1687c	CCP44452	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1691	Rv1691	CCP44456	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Rv1692	Rv1692	CCP44457	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1693	Rv1693	CCP44458	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1697	Rv1697	CCP44462	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1700	Rv1700	CCP44465	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1701	Rv1701	CCP44466	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1702c	Rv1702c	CCP44467	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1703c	Rv1703c	CCP44468	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1706A	Rv1706A	CCP44472	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Rv1707	Rv1707	CCP44473	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1708	Rv1708	CCP44474	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1711	Rv1711	CCP44477	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1714	Rv1714	CCP44480	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1716	Rv1716	CCP44482	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Rv1717	Rv1717	CCP44483	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1718	Rv1718	CCP44484	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1719	Rv1719	CCP44485	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1722	Rv1722	CCP44488	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
Rv1723	Rv1723	CCP44489	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1724c	Rv1724c	CCP44490	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Rv1725c	Rv1725c	CCP44491	protein_coding	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	2
Rv1726	Rv1726	CCP44492	protein_coding	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	2
Rv1727	Rv1727	CCP44493	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
Rv1728c	Rv1728c	CCP44494	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1729c	Rv1729c	CCP44495	protein_coding	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3
Rv1730c	Rv1730c	CCP44496	protein_coding	0	0	1	5	0	0	0	0	3	0	1	0	0	0	0	0	0	2
Rv1732c	Rv1732c	CCP44498	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1733c	Rv1733c	CCP44499	protein_coding	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0
Rv1734c	Rv1734c	CCP44500	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Rv1735c	Rv1735c	CCP44501	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Rv1738	Rv1738	CCP44504	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1739c	Rv1739c	CCP44505	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rv1742	Rv1742	CCP44508	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1744c	Rv1744c	CCP44510	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1751	Rv1751	CCP44517	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1752	Rv1752	CCP44518	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1754c	Rv1754c	CCP44520	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1756c	Rv1756c	CCP44522	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1757c	Rv1757c	CCP44523	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1760	Rv1760	CCP44526	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Rv1761c	Rv1761c	CCP44527	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1762c	Rv1762c	CCP44528	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1763	Rv1763	CCP44529	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1764	Rv1764	CCP44530	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1765c	Rv1765c	CCP44531	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1769	Rv1769	CCP44536	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1770	Rv1770	CCP44537	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1771	Rv1771	CCP44538	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1772	Rv1772	CCP44539	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1773c	Rv1773c	CCP44540	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Rv1774	Rv1774	CCP44541	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Rv1775	Rv1775	CCP44542	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1776c	Rv1776c	CCP44543	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1778c	Rv1778c	CCP44545	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1779c	Rv1779c	CCP44546	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Rv1780	Rv1780	CCP44547	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1786	Rv1786	CCP44552	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1794	Rv1794	CCP44560	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1804c	Rv1804c	CCP44570	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4
Rv1805c	Rv1805c	CCP44571	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4
Rv1810	Rv1810	CCP44576	protein_coding	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	4
Rv1812c	Rv1812c	CCP44578	protein_coding	0	1	1	5	0	0	0	0	2	0	1	0	0	0	0	0	1	3
Rv1813c	Rv1813c	CCP44579	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	3
Rv1815	Rv1815	CCP44581	protein_coding	0	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	4
Rv1816	Rv1816	CCP44582	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1817	Rv1817	CCP44583	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Rv1823	Rv1823	CCP44589	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Rv1824	Rv1824	CCP44590	protein_coding	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Rv1825	Rv1825	CCP44591	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1828	Rv1828	CCP44594	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1829	Rv1829	CCP44595	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1830	Rv1830	CCP44596	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Rv1831	Rv1831	CCP44597	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1833c	Rv1833c	CCP44599	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1835c	Rv1835c	CCP44601	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1836c	Rv1836c	CCP44602	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1841c	Rv1841c	CCP44607	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1842c	Rv1842c	CCP44608	protein_coding	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2
Rv1847	Rv1847	CCP44613	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1855c	Rv1855c	CCP44621	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1856c	Rv1856c	CCP44622	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1861	Rv1861	CCP44627	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1863c	Rv1863c	CCP44629	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1864c	Rv1864c	CCP44630	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1865c	Rv1865c	CCP44631	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1866	Rv1866	CCP44632	protein_coding	0	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	2
Rv1867	Rv1867	CCP44633	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Rv1868	Rv1868	CCP44634	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1869c	Rv1869c	CCP44635	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1870c	Rv1870c	CCP44636	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1871c	Rv1871c	CCP44637	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1873	Rv1873	CCP44639	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1874	Rv1874	CCP44640	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1875	Rv1875	CCP44641	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1877	Rv1877	CCP44643	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1879	Rv1879	CCP44645	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Rv1882c	Rv1882c	CCP44648	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	4
Rv1883c	Rv1883c	CCP44649	protein_coding	0	0	2	4	0	0	0	1	2	0	1	0	0	0	0	0	0	2
Rv1885c	Rv1885c	CCP44651	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
Rv1887	Rv1887	CCP44653	protein_coding	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	4
Rv1888A	Rv1888A	CCP44655	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
Rv1888c	Rv1888c	CCP44654	protein_coding	1	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0	0
Rv1889c	Rv1889c	CCP44656	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1890c	Rv1890c	CCP44657	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1891	Rv1891	CCP44658	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1892	Rv1892	CCP44659	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1893	Rv1893	CCP44660	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1894c	Rv1894c	CCP44661	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1895	Rv1895	CCP44662	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Rv1896c	Rv1896c	CCP44663	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1897c	Rv1897c	CCP44664	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1898	Rv1898	CCP44665	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1903	Rv1903	CCP44670	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1904	Rv1904	CCP44671	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1906c	Rv1906c	CCP44673	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1907c	Rv1907c	CCP44674	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Rv1910c	Rv1910c	CCP44677	protein_coding	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	3
Rv1913	Rv1913	CCP44680	protein_coding	0	0	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	3
Rv1914c	Rv1914c	CCP44681	protein_coding	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	8
Rv1924c	Rv1924c	CCP44691	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1927	Rv1927	CCP44694	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1928c	Rv1928c	CCP44695	protein_coding	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rv1929c	Rv1929c	CCP44696	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1930c	Rv1930c	CCP44697	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1931c	Rv1931c	CCP44698	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1936	Rv1936	CCP44703	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1937	Rv1937	CCP44704	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1939	Rv1939	CCP44706	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1947	Rv1947	CCP44714	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rv1948c	Rv1948c	CCP44715	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rv1949c	Rv1949c	CCP44716	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1950c	Rv1950c	CCP44717	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1951c	Rv1951c	CCP44718	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1954A	Rv1954A	CCP44722	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1954c	Rv1954c	CCP44721	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rv1957	Rv1957	CCP44725	protein_coding	0	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0
Rv1958c	Rv1958c	CCP44726	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1961	Rv1961	CCP44729	protein_coding	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Rv1972	Rv1972	CCP44741	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1973	Rv1973	CCP44742	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1974	Rv1974	CCP44743	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1975	Rv1975	CCP44744	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1976c	Rv1976c	CCP44745	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1977	Rv1977	CCP44746	protein_coding	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1
Rv1978	Rv1978	CCP44747	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv1979c	Rv1979c	CCP44748	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1985c	Rv1985c	CCP44755	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Rv1986	Rv1986	CCP44756	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1987	Rv1987	CCP44757	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1989c	Rv1989c	CCP44759	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1990A	Rv1990A	CCP44761	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv1990c	Rv1990c	CCP44760	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1993c	Rv1993c	CCP44765	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1995	Rv1995	CCP44767	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Rv1996	Rv1996	CCP44768	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rv1998c	Rv1998c	CCP44770	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv1999c	Rv1999c	CCP44771	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
Rv2000	Rv2000	CCP44772	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Rv2001	Rv2001	CCP44773	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Rv2003c	Rv2003c	CCP44775	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv2004c	Rv2004c	CCP44776	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv2005c	Rv2005c	CCP44777	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
Rv2008c	Rv2008c	CCP44780	protein_coding	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	7
Rv2011c	Rv2011c	CCP44783	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Rv2012	Rv2012	CCP44784	protein_coding	0	0	0	9	0	0	0	0	9	0	0	0	0	0	0	0	0	0
Rv2013	Rv2013	CCP44785	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	7
